user_id,total_orders,avg_days_between_orders,avg_shopping_hour,avg_products_per_order,department_diversity
1,11,19.0,10.090909090909092,11.0,5
2,15,16.285714285714285,10.6,31.0,7
5,5,11.5,15.0,9.0,5
7,21,10.45,13.476190476190476,9.0,5
8,4,23.333333333333332,5.5,18.0,6
9,4,22.0,13.25,22.0,7
10,6,21.8,17.0,4.0,4
13,13,7.666666666666667,15.384615384615385,5.0,3
14,14,21.23076923076923,10.714285714285714,11.0,6
17,41,8.0,13.75609756097561,6.0,3
18,7,5.833333333333333,15.285714285714286,11.0,6
21,34,10.454545454545455,10.705882352941176,6.0,2
23,5,18.5,11.8,12.0,4
24,19,14.666666666666666,13.631578947368421,1.0,1
27,82,4.432098765432099,12.487804878048781,17.0,3
29,19,11.61111111111111,10.68421052631579,17.0,8
30,9,21.625,12.777777777777779,1.0,1
34,6,22.0,12.5,5.0,3
37,24,13.521739130434783,14.875,12.0,6
38,13,21.75,10.846153846153847,19.0,8
41,6,26.6,16.666666666666668,15.0,7
42,17,13.875,13.588235294117647,7.0,5
43,12,11.818181818181818,14.833333333333334,33.0,10
44,4,30.0,9.25,6.0,5
46,20,17.36842105263158,14.4,6.0,4
47,6,9.6,16.333333333333332,6.0,3
48,11,20.9,13.545454545454545,13.0,6
49,9,24.875,13.222222222222221,6.0,5
50,68,5.432835820895522,11.220588235294118,6.0,3
52,28,8.851851851851851,10.714285714285714,11.0,4
53,4,15.333333333333334,15.25,13.0,7
55,8,19.428571428571427,13.75,13.0,7
56,13,7.0,11.692307692307692,9.0,3
59,11,16.1,11.727272727272727,21.0,9
62,11,16.8,12.090909090909092,16.0,5
63,40,9.23076923076923,12.4,14.0,6
64,11,11.7,14.363636363636363,16.0,7
65,15,14.0,11.533333333333333,8.0,6
66,7,28.833333333333332,14.571428571428571,7.0,4
67,25,7.458333333333333,12.32,3.0,2
70,14,19.923076923076923,16.642857142857142,1.0,1
71,24,14.391304347826088,13.375,25.0,10
72,13,16.5,13.923076923076923,2.0,2
74,6,16.0,8.166666666666666,5.0,4
76,10,21.11111111111111,9.2,3.0,2
78,7,14.833333333333334,11.285714285714286,3.0,3
79,8,19.857142857142858,12.625,10.0,3
80,13,9.333333333333334,12.0,11.0,6
81,8,21.0,14.75,3.0,1
82,20,11.263157894736842,11.9,7.0,3
83,7,20.0,15.142857142857142,3.0,3
84,9,21.625,12.0,12.0,4
86,18,19.41176470588235,14.11111111111111,17.0,4
87,28,10.222222222222221,12.428571428571429,7.0,5
88,8,18.285714285714285,12.25,3.0,2
89,21,9.2,13.571428571428571,14.0,6
90,72,3.4507042253521125,12.083333333333334,5.0,2
91,16,10.066666666666666,12.9375,34.0,9
93,15,12.714285714285714,11.2,8.0,4
95,9,21.125,12.88888888888889,18.0,10
96,17,12.625,12.647058823529411,11.0,7
97,6,20.4,15.0,1.0,1
99,19,17.944444444444443,14.105263157894736,15.0,5
102,7,25.833333333333332,17.142857142857142,17.0,6
103,18,12.352941176470589,15.38888888888889,1.0,1
104,6,17.2,10.166666666666666,11.0,2
105,8,21.571428571428573,11.875,4.0,4
106,4,9.333333333333334,14.0,17.0,7
108,8,19.857142857142858,14.0,9.0,3
109,7,20.166666666666668,10.571428571428571,17.0,6
110,21,15.75,13.0,22.0,5
111,8,17.714285714285715,11.875,24.0,10
112,27,7.923076923076923,14.296296296296296,1.0,1
113,6,16.2,16.833333333333332,2.0,2
114,5,6.75,11.0,20.0,7
115,13,16.333333333333332,15.692307692307692,13.0,9
116,7,12.5,11.0,5.0,2
117,12,19.454545454545453,14.5,9.0,5
118,28,13.296296296296296,9.142857142857142,4.0,2
119,4,18.333333333333332,12.75,15.0,10
120,4,21.333333333333332,8.75,1.0,1
121,11,20.5,12.454545454545455,5.0,2
123,11,20.4,15.0,11.0,7
124,9,15.875,10.333333333333334,9.0,4
125,14,11.76923076923077,11.0,19.0,9
128,12,16.363636363636363,15.5,10.0,5
130,4,24.0,12.25,9.0,5
131,10,19.333333333333332,10.3,8.0,5
132,25,3.4166666666666665,11.48,6.0,4
135,5,13.25,16.2,12.0,4
138,33,11.125,12.545454545454545,1.0,1
139,5,12.5,16.6,3.0,3
140,77,4.802631578947368,14.077922077922079,23.0,10
142,46,7.155555555555556,14.08695652173913,6.0,6
143,15,8.0,15.733333333333333,14.0,7
144,8,7.285714285714286,15.125,3.0,3
145,9,7.0,13.666666666666666,8.0,5
146,41,9.075,12.75609756097561,17.0,8
147,14,17.0,15.214285714285714,13.0,9
148,8,9.857142857142858,13.0,7.0,4
150,32,10.483870967741936,13.71875,2.0,2
155,23,15.318181818181818,12.565217391304348,3.0,2
157,5,5.0,16.0,8.0,5
160,13,14.5,10.538461538461538,20.0,8
161,21,16.65,16.904761904761905,17.0,6
163,12,9.090909090909092,13.166666666666666,9.0,7
164,11,17.3,12.727272727272727,10.0,7
167,6,17.4,13.333333333333334,18.0,9
169,7,19.833333333333332,14.0,11.0,4
171,7,10.333333333333334,14.0,13.0,7
173,45,6.045454545454546,12.0,5.0,4
174,28,11.185185185185185,15.214285714285714,5.0,4
175,24,5.260869565217392,13.583333333333334,1.0,1
176,7,23.0,14.857142857142858,7.0,5
178,6,13.8,13.166666666666666,1.0,1
179,6,19.0,15.166666666666666,7.0,2
183,5,15.25,16.2,27.0,11
184,12,23.545454545454547,14.5,26.0,11
185,7,29.166666666666668,11.142857142857142,1.0,1
187,33,6.875,13.484848484848484,11.0,8
189,12,14.818181818181818,17.666666666666668,5.0,3
191,5,4.75,13.6,7.0,6
192,6,29.8,11.0,8.0,6
193,6,18.4,11.833333333333334,7.0,3
195,59,5.482758620689655,11.779661016949152,6.0,4
197,21,3.6,14.333333333333334,31.0,7
198,6,14.8,13.666666666666666,2.0,2
199,4,15.666666666666666,11.75,9.0,5
201,8,9.857142857142858,11.0,3.0,2
203,4,20.0,14.5,1.0,1
204,59,6.293103448275862,14.440677966101696,21.0,8
205,13,14.333333333333334,15.384615384615385,8.0,7
206,29,12.392857142857142,13.379310344827585,8.0,3
208,19,9.666666666666666,13.473684210526315,5.0,3
209,20,12.68421052631579,13.9,9.0,2
210,100,3.3333333333333335,14.13,22.0,8
211,5,7.25,13.0,27.0,7
212,13,14.833333333333334,12.384615384615385,3.0,3
213,6,17.0,12.333333333333334,25.0,7
214,28,11.666666666666666,16.285714285714285,36.0,8
215,6,26.2,9.166666666666666,14.0,9
217,12,18.727272727272727,13.583333333333334,21.0,5
218,7,14.333333333333334,13.0,1.0,1
219,34,10.272727272727273,14.117647058823529,23.0,11
220,17,18.1875,13.588235294117647,5.0,2
222,71,5.214285714285714,9.492957746478874,7.0,3
223,50,7.428571428571429,8.88,3.0,3
224,4,17.666666666666668,8.75,8.0,4
226,22,14.19047619047619,11.954545454545455,14.0,8
229,18,13.764705882352942,12.0,10.0,4
230,11,21.3,12.909090909090908,17.0,7
231,4,15.666666666666666,6.25,18.0,5
235,22,11.380952380952381,12.181818181818182,13.0,8
238,7,14.833333333333334,15.714285714285714,57.0,13
239,6,19.4,7.166666666666667,11.0,6
240,6,23.0,9.833333333333334,2.0,2
242,17,12.375,14.529411764705882,5.0,4
243,28,12.25925925925926,13.642857142857142,12.0,2
245,6,28.0,14.666666666666666,11.0,7
249,10,7.111111111111111,17.4,4.0,2
250,12,18.454545454545453,15.25,13.0,7
252,5,26.0,15.8,21.0,10
253,4,12.0,15.75,3.0,2
255,5,19.25,14.4,7.0,5
256,19,18.11111111111111,15.631578947368421,11.0,7
258,25,8.708333333333334,15.4,5.0,5
259,4,13.0,14.75,4.0,1
260,18,10.588235294117647,10.944444444444445,4.0,1
261,9,3.75,15.444444444444445,30.0,7
262,46,7.288888888888889,13.58695652173913,4.0,3
264,30,11.482758620689655,11.733333333333333,24.0,11
267,10,23.666666666666668,12.5,15.0,8
270,23,12.227272727272727,13.217391304347826,7.0,2
271,16,19.0,17.1875,1.0,1
272,10,15.11111111111111,14.3,8.0,3
273,20,14.421052631578947,14.95,10.0,3
278,69,2.838235294117647,13.043478260869565,1.0,1
280,42,8.609756097560975,16.523809523809526,11.0,4
282,4,18.0,15.5,7.0,5
283,6,20.6,9.833333333333334,6.0,3
284,17,18.5,12.882352941176471,13.0,7
285,5,21.75,14.0,7.0,4
286,4,12.666666666666666,9.5,2.0,1
288,4,26.666666666666668,15.0,11.0,5
289,50,7.020408163265306,13.3,11.0,5
291,5,12.75,12.8,1.0,1
293,9,20.625,18.333333333333332,17.0,7
294,16,12.8,15.1875,6.0,3
295,24,5.391304347826087,13.958333333333334,14.0,7
296,7,6.333333333333333,13.0,13.0,5
298,4,18.333333333333332,12.25,18.0,10
300,39,6.157894736842105,13.384615384615385,15.0,6
304,43,8.071428571428571,16.72093023255814,6.0,4
305,5,30.0,17.0,11.0,6
306,25,14.208333333333334,10.6,4.0,2
309,26,1.0,11.653846153846153,14.0,5
310,100,3.3333333333333335,10.95,4.0,4
313,100,1.7272727272727273,9.41,6.0,4
314,6,25.8,11.5,1.0,1
315,5,14.75,17.8,13.0,7
317,5,14.75,14.8,3.0,3
319,9,3.875,11.11111111111111,9.0,5
322,15,17.928571428571427,13.533333333333333,8.0,3
323,72,2.4507042253521125,12.930555555555555,11.0,4
324,12,18.363636363636363,12.916666666666666,6.0,4
325,8,17.285714285714285,12.0,9.0,4
326,6,14.4,13.0,3.0,2
327,64,5.507936507936508,11.34375,11.0,6
328,13,15.583333333333334,13.0,3.0,3
329,9,18.375,13.0,23.0,9
330,8,25.142857142857142,13.375,5.0,2
334,64,5.666666666666667,15.046875,6.0,4
337,13,21.333333333333332,19.846153846153847,26.0,10
340,6,10.0,12.166666666666666,12.0,6
341,12,17.454545454545453,13.0,21.0,9
342,17,17.4375,10.294117647058824,8.0,4
343,5,25.0,15.8,8.0,3
345,4,26.333333333333332,12.0,2.0,2
346,7,24.333333333333332,17.142857142857142,3.0,1
348,29,10.857142857142858,11.241379310344827,4.0,4
349,8,14.285714285714286,9.125,6.0,4
350,15,8.0,14.333333333333334,19.0,8
351,15,13.285714285714286,13.466666666666667,11.0,5
353,12,14.909090909090908,12.083333333333334,12.0,6
355,14,16.0,12.571428571428571,17.0,7
357,9,13.0,12.222222222222221,18.0,7
358,8,24.714285714285715,14.125,4.0,2
359,16,17.733333333333334,16.0,21.0,10
361,7,15.666666666666666,11.428571428571429,1.0,1
363,13,9.916666666666666,15.23076923076923,11.0,7
365,16,9.866666666666667,14.0625,1.0,1
370,28,9.703703703703704,11.928571428571429,7.0,6
371,4,18.333333333333332,13.75,7.0,7
372,13,21.25,16.0,6.0,4
374,17,19.5,12.294117647058824,2.0,2
375,8,20.142857142857142,15.5,42.0,11
376,9,20.375,14.666666666666666,13.0,7
377,4,21.0,16.0,5.0,4
378,9,23.875,14.222222222222221,3.0,3
379,20,10.578947368421053,11.3,1.0,1
380,13,14.25,12.692307692307692,4.0,1
382,30,10.413793103448276,13.133333333333333,12.0,6
383,10,19.88888888888889,12.8,5.0,2
384,10,19.555555555555557,12.1,5.0,4
385,5,28.75,13.8,9.0,5
387,9,11.5,12.11111111111111,6.0,3
390,23,13.772727272727273,16.26086956521739,36.0,10
391,24,7.6521739130434785,13.5,10.0,5
393,11,19.2,13.363636363636363,18.0,5
395,4,20.666666666666668,16.75,1.0,1
396,19,15.166666666666666,14.0,8.0,5
399,4,12.666666666666666,14.5,6.0,4
401,5,14.5,14.4,16.0,7
402,5,13.5,11.0,2.0,2
